Array_Size,Radix_2_DIT_Serial,Thread_2,Thread_3,Thread_4,Thread_5,Thread_6,Thread_7,Thread_8
4,0.000016,0.000506,0.000229,0.000288,0.000317,0.000305,0.000330,0.000309
16,0.000004,0.000116,0.000089,0.000131,0.000134,0.000192,0.000165,0.000191
64,0.000017,0.000125,0.000102,0.000115,0.000151,0.000162,0.000198,0.000178
256,0.000087,0.000155,0.000133,0.000162,0.000146,0.000184,0.000182,0.000228
1024,0.000429,0.000347,0.000281,0.000251,0.000247,0.000237,0.000240,0.000267
4096,0.001982,0.001269,0.000884,0.000739,0.000630,0.000566,0.000494,0.000491
16384,0.009205,0.005276,0.003729,0.002897,0.002305,0.001996,0.001758,0.001578
65536,0.042277,0.022886,0.016221,0.012951,0.009929,0.008338,0.007269,0.006858
262144,0.190735,0.098413,0.067925,0.055869,0.043778,0.036661,0.032135,0.028097
1048576,0.846635,0.436373,0.298537,0.239059,0.189637,0.161893,0.140993,0.123297
4194304,3.907105,2.003262,1.360902,1.100298,0.839657,0.718930,0.663468,0.552670
16777216,17.010697,8.726431,6.128348,4.709923,3.789316,3.222214,2.814031,2.492556
67108864,73.634408,37.761008,26.569215,20.395433,16.465954,13.857459,12.320450,10.783343
268435456,316.953005,162.381178,112.532379,86.336852,69.216314,58.836651,51.089829,45.787025
