Array_Size,Radix_2_DIT_Serial,Thread_2,Thread_3,Thread_4,Thread_5,Thread_6,Thread_7,Thread_8
8,0.000019,0.000504,0.000235,0.000293,0.000261,0.000323,0.000324,0.000317
64,0.000015,0.000160,0.000151,0.000124,0.000132,0.000153,0.000163,0.000188
512,0.000159,0.000204,0.000156,0.000170,0.000162,0.000209,0.000223,0.000225
4096,0.001640,0.000890,0.000648,0.000549,0.000487,0.000445,0.000443,0.000412
32768,0.016373,0.007786,0.005415,0.004576,0.003489,0.002957,0.002685,0.002643
262144,0.157712,0.070567,0.048985,0.040802,0.031924,0.027011,0.023111,0.020854
2097152,1.479166,0.659925,0.465224,0.375459,0.301802,0.262907,0.226622,0.189569
16777216,14.207581,6.286726,4.492233,3.443372,2.844893,2.368355,2.104267,1.810165
134217728,123.183142,55.339118,40.017075,32.107556,26.914362,23.905273,21.357102,19.749689
